,Price_Returns,CCUSMA02EZM618N,CPIAUCSL,UNRATE
1991-02-28,-0.002380389617557982,0.7225999999991469,134.8,6.6
1991-03-31,-0.0035005411800830056,0.7818000000006579,134.8,6.8
1991-04-30,0.004231015851221714,0.826699999999619,135.1,6.7
1991-05-31,-0.0015767528646150255,0.83389999999963,135.6,6.9
1991-06-30,-0.0012966285846607584,0.868700000000899,136.0,6.9
1991-07-31,0.002738291590176742,0.8706999999994879,136.2,6.8
1991-08-31,0.0022350300134672085,0.8503000000000609,136.6,6.9
1991-09-30,0.0020942466452007692,0.8281000000006321,137.0,6.9
1991-10-31,0.0012088823372655084,0.82550000000083,137.2,7.0
1991-11-30,-0.004201827953160423,0.795000000000073,137.8,7.0
1991-12-31,-0.005663138511959077,0.768099999999322,138.2,7.3
1992-01-31,0.0012541688284595737,0.7705999999998309,138.3,7.3
1992-02-29,-0.001807805627158765,0.791999999999462,138.6,7.4
1992-03-31,0.004212022514417077,0.8127000000004041,139.1,7.4
1992-04-30,0.0014641600180402784,0.804899999999179,139.4,7.4
1992-05-31,0.002693023010883083,0.78859999999986,139.7,7.6
1992-06-30,-0.00015833721960252132,0.767900000000736,140.1,7.8
1992-07-31,-0.00040086371537425994,0.7297999999991591,140.5,7.7
1992-08-31,-0.001708546162601891,0.7134999999998399,140.8,7.6
1992-09-30,0.0012320039350789504,0.721999999999753,141.1,7.6
1992-10-31,-0.0023925080072783197,0.7551999999996041,141.7,7.3
1992-11-30,0.0003553477492527266,0.807199999999284,142.1,7.4
1992-12-31,-0.003507501672862565,0.807199999999284,142.3,7.4
1993-01-31,0.0018398142685323582,0.825000000000728,142.8,7.3
1993-02-28,0.001063676896773207,0.845300000000861,143.1,7.1
1993-03-31,-0.00023214614822676248,0.8484000000007659,143.3,7.0
1993-04-30,0.00043705188207568413,0.820100000000821,143.8,7.1
1993-05-31,-0.001153059488738871,0.8212000000003169,144.2,7.1
1993-06-30,-0.002483848018633575,0.8443000000006579,144.3,7.0
1993-07-31,-0.0014477814073673332,0.8783999999996009,144.5,6.9
1993-08-31,-0.00027988510158827307,0.8824000000004159,144.8,6.8
1993-09-30,0.00145672149689998,0.8482000000003609,145.0,6.7
1993-10-31,-0.005182477650748418,0.859300000000076,145.6,6.8
1993-11-30,-0.003547279721781861,0.8858000000000179,146.0,6.6
1993-12-31,-0.003361210679517636,0.8858000000000179,146.3,6.5
1994-01-31,0.006094267423811595,0.8974999999991271,146.3,6.6
1994-02-28,-0.004166654859755181,0.894800000000032,146.7,6.6
1994-03-31,-0.00089709401840602,0.8760000000002042,147.1,6.5
1994-04-30,0.008061168403659634,0.8773000000001051,147.2,6.4
1994-05-31,0.0027538058144548514,0.858599999999569,147.5,6.1
1994-06-30,0.0035391247488251783,0.845699999999852,147.9,6.1
1994-07-31,0.0029004558617945855,0.8184999999994041,148.4,6.1
1994-08-31,-0.006240025877156976,0.8179999999993021,149.0,6.0
1994-09-30,0.002027128714556686,0.809999999999491,149.3,5.9
1994-10-31,0.00136656560649944,0.7932000000000698,149.4,5.8
1994-11-30,-0.0004937055347405204,0.804400000000896,149.8,5.6
1994-12-31,-0.002052217806933837,0.8227999999999159,150.1,5.5
1995-01-31,0.0017484949709243567,0.803400000000693,150.5,5.6
1995-02-28,0.001315534550854086,0.794560000000274,150.9,5.4
1995-03-31,0.0019122410668871775,0.759586960000888,151.2,5.4
1995-04-30,0.0031639687575643,0.745621050000409,151.8,5.8
1995-05-31,-0.0033502015657648513,0.756042860000889,152.1,5.6
1995-06-30,-0.002520912175345497,0.7522150000004331,152.4,5.6
1995-07-31,-0.0022786928255815794,0.7434379999995141,152.6,5.7
1995-08-31,0.001242021746862786,0.7702681899991151,152.9,5.7
1995-09-30,0.0011755439865003005,0.7760142799997991,153.1,5.6
1995-10-31,6.153270020082207e-05,0.756377269999575,153.5,5.5
1995-11-30,0.0015286945122535247,0.755342860000383,153.7,5.6
1995-12-31,0.0045375142640989964,0.7665888899991841,153.9,5.6
1996-01-31,-0.005036411929100557,0.774245450000308,154.7,5.6
1996-02-29,0.005973995224978794,0.7760666699996359,155.0,5.5
1996-03-31,0.003977191749698207,0.7804285700003679,155.5,5.5
1996-04-30,-0.0014133112836812345,0.7907333300008761,156.1,5.6
1996-05-31,-0.003249429343612122,0.8022684200004729,156.4,5.6
1996-06-30,0.0033018822914726185,0.797715009999592,156.7,5.3
1996-07-31,-0.0005049288596299915,0.7873956500006899,157.0,5.5
1996-08-31,0.004883875739505201,0.779268180000145,157.2,5.1
1996-09-30,0.0070800480832152995,0.788695240000379,157.7,5.2
1996-10-31,-0.00227907948559365,0.7943260899992309,158.2,5.2
1996-11-30,0.0009352488882724183,0.7826523799994899,158.7,5.4
